time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,31,1,1,127,1,0,1,0
30,29,3,3,119,9,0,2,0
53,29,3,3,117,11,0,3,0
79,4,28,28,17,111,496,4,0
97,4,28,28,17,111,495,4,1
130,4,28,28,17,111,495,4,1
146,4,28,28,17,111,495,4,1
164,4,28,28,18,110,495,3,2
177,6,26,26,26,102,495,2,3
180,7,25,25,28,100,495,1,4
181,7,25,25,28,100,495,1,4
214,7,25,25,28,100,495,1,4
239,7,25,25,28,100,495,1,4
252,6,26,26,27,101,495,2,4
271,6,26,26,27,101,495,2,4
304,6,26,26,27,101,495,2,4
330,6,26,26,27,101,495,2,4
363,6,26,26,27,101,495,2,4
378,7,25,25,28,100,495,1,5
392,7,25,25,28,100,495,1,5
425,7,25,25,28,100,495,1,5
456,7,25,25,28,100,495,1,5
489,7,25,25,28,100,495,1,5
521,7,25,25,28,100,495,1,5
554,7,25,25,28,100,495,1,5
586,7,25,25,28,100,495,1,5
619,7,25,25,28,100,495,1,5
651,7,25,25,28,100,495,1,5
684,7,25,25,28,100,495,1,5
716,7,25,25,28,100,495,1,5
749,7,25,25,28,100,495,1,5
781,7,25,25,28,100,495,1,5
814,7,25,25,28,100,495,1,5
846,7,25,25,28,100,495,1,5
879,7,25,25,28,100,495,1,5
911,7,25,25,28,100,495,1,5
944,7,25,25,28,100,495,1,5
976,7,25,25,28,100,495,1,5
1009,7,25,25,28,100,495,1,5
1041,7,25,25,28,100,495,1,5
1074,7,25,25,28,100,495,1,5
1106,7,25,25,28,100,495,1,5
1139,7,25,25,28,100,495,1,5
1171,7,25,25,28,100,495,1,5
1204,7,25,25,28,100,495,1,5
1236,7,25,25,28,100,495,1,5
1269,7,25,25,28,100,495,1,5
1301,7,25,25,28,100,495,1,5
1334,7,25,25,28,100,495,1,5
1366,7,25,25,28,100,495,1,5
1399,7,25,25,28,100,495,1,5
1431,7,25,25,28,100,495,1,5
1464,7,25,25,28,100,495,1,5
1496,7,25,25,28,100,495,1,5
1529,7,25,25,28,100,495,1,5
1561,7,25,25,28,100,495,1,5
1594,7,25,25,28,100,495,1,5
1626,7,25,25,28,100,495,1,5
1659,7,25,25,28,100,495,1,5
1691,7,25,25,28,100,495,1,5
1724,7,25,25,28,100,495,1,5
1756,7,25,25,28,100,495,1,5
1789,7,25,25,28,100,495,1,5
1821,7,25,25,28,100,495,1,5
1854,7,25,25,28,100,495,1,5
1886,7,25,25,28,100,495,1,5
1919,7,25,25,28,100,495,1,5
1951,7,25,25,28,100,495,1,5
1984,7,25,25,28,100,495,1,5
2016,7,25,25,28,100,495,1,5
2049,7,25,25,28,100,495,1,5
2081,7,25,25,28,100,495,1,5
2114,7,25,25,28,100,495,1,5
2146,7,25,25,28,100,495,1,5
2179,7,25,25,28,100,495,1,5
2211,7,25,25,28,100,495,1,5
2244,7,25,25,28,100,495,1,5
2276,7,25,25,28,100,495,1,5
2309,7,25,25,28,100,495,1,5
2341,7,25,25,28,100,495,1,5
2374,7,25,25,28,100,495,1,5
2406,7,25,25,28,100,495,1,5
2439,7,25,25,28,100,495,1,5
2471,7,25,25,28,100,495,1,5
2504,7,25,25,28,100,495,1,5
2536,7,25,25,28,100,495,1,5
2569,7,25,25,28,100,495,1,5
2601,7,25,25,28,100,495,1,5
2634,7,25,25,28,100,495,1,5
2666,7,25,25,28,100,495,1,5
2699,7,25,25,28,100,495,1,5
2731,7,25,25,28,100,495,1,5
2764,7,25,25,28,100,495,1,5
2796,7,25,25,28,100,495,1,5
2829,7,25,25,28,100,495,1,5
2861,7,25,25,28,100,495,1,5
2894,7,25,25,28,100,495,1,5
2926,7,25,25,28,100,495,1,5
2959,7,25,25,28,100,495,1,5
2991,7,25,25,28,100,495,1,5
3024,7,25,25,28,100,495,1,5
3056,7,25,25,28,100,495,1,5
3089,7,25,25,28,100,495,1,5
3121,7,25,25,28,100,495,1,5
3154,7,25,25,28,100,495,1,5
3186,7,25,25,28,100,495,1,5
3219,7,25,25,28,100,495,1,5
3251,7,25,25,28,100,495,1,5
3284,7,25,25,28,100,495,1,5
3316,7,25,25,28,100,495,1,5
3349,7,25,25,28,100,495,1,5
3381,7,25,25,28,100,495,1,5
3414,7,25,25,28,100,495,1,5
3446,7,25,25,28,100,495,1,5
3479,7,25,25,28,100,495,1,5
3511,7,25,25,28,100,495,1,5
3544,7,25,25,28,100,495,1,5
3576,7,25,25,28,100,495,1,5
3609,7,25,25,28,100,495,1,5
3641,7,25,25,28,100,495,1,5
3674,7,25,25,28,100,495,1,5
3706,7,25,25,28,100,495,1,5
3739,7,25,25,28,100,495,1,5
3771,7,25,25,28,100,495,1,5
3804,7,25,25,28,100,495,1,5
3836,7,25,25,28,100,495,1,5
3869,7,25,25,28,100,495,1,5
3901,7,25,25,28,100,495,1,5
3934,7,25,25,28,100,495,1,5
3966,7,25,25,28,100,495,1,5
3999,7,25,25,28,100,495,1,5
4031,7,25,25,28,100,495,1,5
4064,7,25,25,28,100,495,1,5
4096,7,25,25,28,100,495,1,5
4129,7,25,25,28,100,495,1,5
4161,7,25,25,28,100,495,1,5
4194,7,25,25,28,100,495,1,5
4226,7,25,25,28,100,495,1,5
4259,7,25,25,28,100,495,1,5
4291,7,25,25,28,100,495,1,5
4324,7,25,25,28,100,495,1,5
4356,7,25,25,28,100,495,1,5
4389,7,25,25,28,100,495,1,5
4421,7,25,25,28,100,495,1,5
4454,7,25,25,28,100,495,1,5
4486,7,25,25,28,100,495,1,5
4519,7,25,25,28,100,495,1,5
4551,7,25,25,28,100,495,1,5
4584,7,25,25,28,100,495,1,5
4616,7,25,25,28,100,495,1,5
4649,7,25,25,28,100,495,1,5
4681,7,25,25,28,100,495,1,5
4714,7,25,25,28,100,495,1,5
4746,7,25,25,28,100,495,1,5
4779,7,25,25,28,100,495,1,5
4811,7,25,25,28,100,495,1,5
4844,7,25,25,28,100,495,1,5
4876,7,25,25,28,100,495,1,5
4909,7,25,25,28,100,495,1,5
4941,7,25,25,28,100,495,1,5
4974,7,25,25,28,100,495,1,5
5006,7,25,25,28,100,495,1,5
5039,7,25,25,28,100,495,1,5
5071,7,25,25,28,100,495,1,5
5104,7,25,25,28,100,495,1,5
5136,7,25,25,28,100,495,1,5
5169,7,25,25,28,100,495,1,5
5201,7,25,25,28,100,495,1,5
5234,7,25,25,28,100,495,1,5
5266,7,25,25,28,100,495,1,5
5299,7,25,25,28,100,495,1,5
5331,7,25,25,28,100,495,1,5
5364,7,25,25,28,100,495,1,5
5396,7,25,25,28,100,495,1,5
5429,7,25,25,28,100,495,1,5
5461,7,25,25,28,100,495,1,5
5494,7,25,25,28,100,495,1,5
5526,7,25,25,28,100,495,1,5
5559,7,25,25,28,100,495,1,5
5591,7,25,25,28,100,495,1,5
5624,7,25,25,28,100,495,1,5
5656,7,25,25,28,100,495,1,5
5689,7,25,25,28,100,495,1,5
5721,7,25,25,28,100,495,1,5
5754,7,25,25,28,100,495,1,5
5786,7,25,25,28,100,495,1,5
5819,7,25,25,28,100,495,1,5
5851,7,25,25,28,100,495,1,5
