time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,resume,promote
1332000097,78,100,79,1314000097,1332000097,18000000,1332000018,18000000,1314000018,0,0,0
1350000097,79,100,79,1332000097,1350000097,18000000,1350000018,18000000,1332000018,0,0,0
1368000097,80,100,79,1350000097,1368000097,18000000,1368000018,18000000,1350000018,0,0,0
1386000097,81,100,79,1368000097,1386000097,18000000,1386000018,18000000,1368000018,0,0,0
1404000097,82,100,79,1386000097,1404000097,18000000,1404000018,18000000,1386000018,0,0,0
1422000097,83,100,79,1404000097,1422000097,18000000,1422000018,18000000,1404000018,0,0,0
1440000097,84,100,79,1422000097,1440000097,18000000,1440000018,18000000,1422000018,0,0,0
1458000097,85,100,79,1440000097,1458000097,18000000,1458000018,18000000,1440000018,0,0,0
1476000097,86,100,79,1458000097,1476000097,18000000,1476000018,18000000,1458000018,0,0,0
1494000097,87,100,79,1476000097,1494000097,18000000,1494000018,18000000,1476000018,0,0,0
1512000097,88,100,79,1494000097,1512000097,18000000,1512000018,18000000,1494000018,0,0,0
1530000097,89,100,79,1512000097,1530000097,18000000,1530000018,18000000,1512000018,0,0,0
1548000097,90,100,79,1530000097,1548000097,18000000,1548000018,18000000,1530000018,0,0,0
1566000097,91,100,79,1548000097,1566000097,18000000,1566000018,18000000,1548000018,0,0,0
1584000097,92,100,79,1566000097,1584000097,18000000,1584000018,18000000,1566000018,0,0,0
1602000097,93,100,79,1584000097,1602000097,18000000,1602000018,18000000,1584000018,0,0,0
1620000097,94,100,79,1602000097,1620000097,18000000,1620000018,18000000,1602000018,0,0,0
1638000097,95,100,79,1620000097,1638000097,18000000,1638000018,18000000,1620000018,0,0,0
1656000097,96,100,79,1638000097,1656000097,18000000,1656000018,18000000,1638000018,0,0,0
1674000097,97,100,79,1656000097,1674000097,18000000,1674000018,18000000,1656000018,0,0,0
1692000097,98,100,79,1674000097,1692000097,18000000,1692000018,18000000,1674000018,0,0,0
1710000097,99,100,79,1692000097,1710000097,18000000,1710000018,18000000,1692000018,0,0,0
1728000097,100,100,79,1710000097,1728000097,18000000,1728000018,18000000,1710000018,0,0,0
1746000097,101,100,79,1728000097,1746000097,18000000,1746000018,18000000,1728000018,0,0,0
1764000097,102,100,79,1746000097,1764000097,18000000,1764000018,18000000,1746000018,0,0,0
1782000097,103,100,79,1764000097,1782000097,18000000,1782000018,18000000,1764000018,0,0,0
1800000097,104,100,79,1782000097,1800000097,18000000,1800000018,18000000,1782000018,0,0,0
1818000097,105,100,79,1800000097,1818000097,18000000,1818000018,18000000,1800000018,0,0,0
1836000097,106,100,79,1818000097,1836000097,18000000,1836000018,18000000,1818000018,0,0,0
1854000097,107,100,79,1836000097,1854000097,18000000,1854000018,18000000,1836000018,0,0,0
1872000097,108,100,79,1854000097,1872000097,18000000,1872000018,18000000,1854000018,0,0,0
1890000097,109,100,79,1872000097,1890000097,18000000,1890000018,18000000,1872000018,0,0,0
1908000097,110,100,79,1890000097,1908000097,18000000,1908000018,18000000,1890000018,0,0,0
1926000097,111,100,79,1908000097,1926000097,18000000,1926000018,18000000,1908000018,0,0,0
1944000097,112,100,79,1926000097,1944000097,18000000,1944000018,18000000,1926000018,0,0,0
1962000097,113,100,79,1944000097,1962000097,18000000,1962000018,18000000,1944000018,0,0,0
1980000097,114,100,79,1962000097,1980000097,18000000,1980000018,18000000,1962000018,0,0,0
1998000097,115,100,79,1980000097,1998000097,18000000,1998000018,18000000,1980000018,0,0,0
2016000097,116,100,79,1998000097,2016000097,18000000,2016000018,18000000,1998000018,0,0,0
2034000097,117,100,79,2016000097,2034000097,18000000,2034000018,18000000,2016000018,0,0,0
2052000097,118,100,79,2034000097,2052000097,18000000,2052000018,18000000,2034000018,0,0,0
2070000097,119,100,79,2052000097,2070000097,18000000,2070000018,18000000,2052000018,0,0,0
2088000097,120,100,79,2070000097,2088000097,18000000,2088000018,18000000,2070000018,0,0,0
2106000097,121,100,79,2088000097,2106000097,18000000,2106000018,18000000,2088000018,0,0,0
2124000097,122,100,79,2106000097,2124000097,18000000,2124000018,18000000,2106000018,0,0,0
2142000097,123,100,79,2124000097,2142000097,18000000,2142000018,18000000,2124000018,0,0,0
2160000097,124,100,79,2142000097,2160000097,18000000,2160000018,18000000,2142000018,0,0,0
2178000097,125,100,79,2160000097,2178000097,18000000,2178000018,18000000,2160000018,0,0,0
2196000097,126,100,79,2178000097,2196000097,18000000,2196000018,18000000,2178000018,0,0,0
2214000097,127,100,79,2196000097,2214000097,18000000,2214000018,18000000,2196000018,0,0,0
2232000097,128,100,79,2214000097,2232000097,18000000,2232000018,18000000,2214000018,0,0,0
2250000097,129,100,79,2232000097,2250000097,18000000,2250000018,18000000,2232000018,0,0,0
2268000097,130,100,79,2250000097,2268000097,18000000,2268000018,18000000,2250000018,0,0,0
2286000097,131,100,79,2268000097,2286000097,18000000,2286000018,18000000,2268000018,0,0,0
2304000097,132,100,79,2286000097,2304000097,18000000,2304000018,18000000,2286000018,0,0,0
2322000097,133,100,79,2304000097,2322000097,18000000,2322000018,18000000,2304000018,0,0,0
