time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,resume,promote,user_id,liar,actual_util,expected_util,delta_util,fss
388,5,4,97,101,388,287,291,120,171,1,2,0,6,False,0.024264457220155564,0.010145417653026716,0.014119039567128847,0.20741660295355344
568,8,4,144,388,568,180,424,180,244,0,1,0,3,False,0.015218126479540075,0.015218126479540075,0.0,0.1257827389055268
603,0,4,2,2,603,601,601,126,475,4,5,0,11,False,0.05081163341224214,0.010652688535678053,0.04015894487656409,0.4394951372908811
609,1,1,30,30,609,579,579,147,432,3,4,0,10,False,0.048951640175853905,0.012428136624957727,0.036523503550896175,0.4223545681369788
618,2,2,53,79,618,539,565,127,438,2,3,0,9,False,0.045569834291511666,0.010737233682786607,0.03483260060872506,0.39358093057197585
729,9,1,252,603,729,126,477,126,351,0,1,0,2,False,0.010652688535678053,0.010652688535678053,0.0,0.08804791723386877
782,3,1,79,79,782,703,703,180,523,2,3,0,8,False,0.059435238417314844,0.015218126479540075,0.04421711193777477,0.5127446254104057
833,10,1,282,603,833,230,551,230,321,0,1,0,1,False,0.019445383834967873,0.019445383834967873,0.0,0.16072238860150648
2429,4,4,89,97,2429,2332,2340,1600,740,1,2,0,7,False,0.19715928305715252,0.13527223537368954,0.06188704768346298,1.6596674536013136
2879,7,4,115,252,2879,2627,2764,480,2284,1,2,0,4,False,0.22210010145417652,0.040581670612106865,0.18151843084206964,1.9239620717391006
2959,6,1,101,144,2959,2815,2858,403,2455,2,3,0,5,False,0.23799458911058505,0.03407169428474806,0.20392289482583698,2.0662255655548885
